Luas Lahan (m2),Nama Perusahaan,Blok,Alamat,Kawasan,Jenis Industri,Kategori Industri,Negara Investasi,Jenis Bangunan
39915,BERLINA TBK,E 16-17,Jl. Jababeka Raya,1,Botol plastik,Plastik,Indonesia,Kavling
31016.92,BUMIMULIA INDAH LESTARI,V 65 A,Jl. Jababeka XVI,1,Plastik untuk kemasan,Plastik,Indonesia,Kavling
16390,DYNAPLAST,C 6-7,Jl. Jababeka Raya,1,Closure,Plastik,Singapore,Kavling
11360,KMK PLASTICS INDONESIA,G 9-10,Jl. Jababeka XI,1,Plastik injection,Plastik,Japan,Kavling
32000,SUPERNOVA FLEXIBLE PACKAGING,LL 1,Jl. Industri Selatan 2,2,"Industri barang dari plastik untuk pengemasan, industri pencetakan umum",Plastik,Indonesia,Kavling
50568,ASTEMO BEKASI MANUFACTURING,I 28,Jl. Jababeka XII,1,Shock absorber (peredam kejut),Otomotif,Japan,Kavling
80161,CHEMCO HARAPAN NUSANTARA,F 19-28,Jl. Jababeka Raya,1,"Komponen brake system automotive, komponen mesin, block mesin dari aluminium untuk kendaraan roda 2, roda , aluminium die casting (sound system, lED Lamp and so on)",Otomotif,Japan,Kavling
12150,DHARMA ELECTRINDO MANUFACTURING,W 5 A,Jl. Jababeka XII,1,Wiring harness dan electrical standard accessories,Otomotif,Indonesia,Kavling
20738,KOMATSU UNDERCARRIAGE INDONESIA,H 12-15,Jl. Jababeka XI,1,"Industri mesin penambangan, penggalian dan kostruksi",Otomotif,Japan,Kavling
22090,PIAGGIO INDONESIA INDUSTRIAL,A 3,Jl. Tekno Industri 1,8,Industri sepeda motor roda dua dan tiga,Otomotif,Italy,Kavling
179839.2,UNITED TRACTORS,H & I,Jl. Jababeka XI,1,Truk karoseri,Otomotif,Indonesia,Kavling
88660.8,UNITED TRACTORS PANDU ENGINEERING,H 30-40,Jl. Jababeka XI,1,Alat berat,Otomotif,Indonesia,Kavling
5174.37,HANES SUPPLY CHAIN INDONESIA,W 39,Jl. Jababeka XIIB,1,Industri pakaian jadi (underwear),Tekstil,USA,Kavling
4930,INDRALOKA BINAKARYA IKA,W 15,Jl. Jababeka XII,1,batik hand print,Tekstil,Indonesia,Kavling
10050,RATNA DEWI TUNGGAL ABADI,W 10,Jl. Jababeka XII,1,Tekstil,Tekstil,Indonesia,Kavling
90009,TAK TEXTILES INDONESIA,G 11-15,Jl. Jababeka XI,1,Tekstil,Tekstil,South Korea,Kavling
66460,TOKAI TEXPRINT INDONESIA,B 4-10,Jl. Jababeka Raya,1,Manufaktur tekstil,Tekstil,Japan,Kavling
2048,BATERAI LISTIK MOTORINDO,DP 5 F,Jl. Tekno Boulevard,3,Perakitan motor listrik dan baterai motor listrik,Elektronik,Indonesia,Kavling
15000,JAYA REFRIGERATION EQUIPMENT,Q 3,Jl. Jababeka IXB,1,Air conditioning (home appliance),Elektronik,China,Kavling
33031,NEW OPTICS INDONESIA,A 3 B,Jl. Tekno Industri 2,8,Industri Semi Konduktor Dan Komponen Elektronik Lainnya,Elektronik,South Korea,Kavling
100245,SAMSUNG ELECTRONICS INDONESIA,F 11-18,Jl. Jababeka Raya,1,"Smartphone, tablet, PCB assy, mesin pendingin ruangan, LED TV",Elektronik,South Korea,Kavling
576,SENTRAMITRA DAYAUTAMA,B 2 L,Jl. Tekno 1,3,Baterai pack lithium (assembly),Elektronik,Indonesia,TOB
22990,AIR PRODUCTS INDONESIA,F 1-3,Jl. Jababeka Raya,1,Gas industri,Kimia,USA,Kavling
12735,ARBE CHEMINDO,H 2,Jl. Jababeka V,1,Carboxil methil cellulose (CMC),Kimia,Indonesia,Kavling
7570,AXALTA POWDER COATING SYSTEMS INDONESIA,C 33,Jl. Jababeka III,1,Cat Powder Coatings,Kimia,USA,Kavling
2480,BEAUTY LINKING HAIR PRODUCTS INDONESIA,F 34,Jl. Jababeka Raya,1,Rambut palsu / wig,Kimia,China,Kavling
5700,DIFAN PRIMA PAINT,W 21,Jl. Jababeka XIIB,1,"Industri cat dan tinta cetak (Cat semprot, kayu, besi, tembok)",Kimia,Indonesia,Kavling
5175,ECOLAB INTERNATIONAL INDONESIA,V 37,Jl. Jababeka XIIB,1,Sabun pembersih/sanitasi,Kimia,USA,Kavling
44000,ICI PAINTS INDONESIA,V 64 EXT,Jl. Jababeka IV,1,Industri cat dan tinta cetak,Kimia,Netherland,Kavling
576,MULIA AGUNG CHEMINDO,E 3 D,Jl. Tekno 3,3,Kimia industri dan general,Kimia,Indonesia,TOB
1380,NIPSEA PAINT AND CHEMICALS,U 8 B,Jl. Jababeka XVIB,1,Cat dan tinta cetak,Kimia,Japan,SFB
1152,PROCOAT ENERGI BARU,CC 24,Jl. Jababeka IIG,1,Cat,Kimia,Indonesia,TOB
1740,RUDOLF CHEMICALS INDONESIA,K 2 E,Jl. Jababeka VIIB,1,Kimia untuk tekstil,Kimia,Germany,SFB
15148,SAMATOR GAS INDUSTRI,PP 4 A,Jl. Industri Selatan 4,2,Gas Industri,Kimia,Indonesia,Kavling
5000,SANOVA,V 2,Jl. Jababeka V,1,Pestisida,Kimia,Indonesia,Kavling
10739,KERRY INGREDIENTS INDONESIA,SS 6 A,Jl. Industri Utama,2,Bumbu masak dan penyedap makanan,Makanan,Irlandia,Kavling
12765,KIKKOMAN AKUFOOD INDONESIA,W 25,Jl. Jababeka XIIB,1,Saus bumbu dan kecap,Makanan,Indonesia,Kavling
1426,MADUSARI NUSAPERDANA,J 4 B,Jl. Jababeka VI,1,Daging olahan,Makanan,Indonesia,SFB
12157.99,MANE INDONESIA,V 66,Jl. Jababeka XVI,1,Industri formulasi penyedap makanan dan aromatik,Makanan,France,Kavling
43672,MONDELEZ INDONESIA MANUFACTURING,K 2,Jl. Jababeka VII,1,Biskuit,Makanan,USA,Kavling
10277,NIPPON INDOSARI CORPINDO TBK,W 40-41,Jl. Jababeka XIIB,1,Bakery/Roti,Makanan,Japan,Kavling
19930,NISSIN FOODS INDONESIA,N 1,Jl. Jababeka Raya,1,Mie Instan,Makanan,Japan,Kavling
2371,OTSUKA DISTRIBUTION INDONESIA,A 1,Jl. Samsung 1,UKM,Distribusi minuman,Makanan,Japan,SFB
6430,SASA INTI,N 6,Jl. Jababeka Raya,1,Tepung bumbu dan saos,Makanan,Singapore,Kavling
25243,SAVORIA KREASI RASA,D 1,Jl. Jababeka IX,1,Teh,Makanan,Indonesia,Kavling
1944,SINAR SOSRO GUNUNG SLAMAT,C 17 L,Jl. Jababeka IIIG,1,Minuman ringan (distributor),Makanan,Indonesia,SFB
63491,THE MAGNUM ICE CREAM INDONESIA,D 1-29,Jl. Jababeka IX,1,Es krim,Makanan,Netherland,Kavling
3239,TISSIN FOODS INDONESIA,II 1,Jl. Industri Selatan,2,Cokelat coating,Makanan,China,SFB
