Luas Lahan (m2),Nama Perusahaan,Blok,Alamat,Kawasan,Jenis Industri,Kategori Industri,Negara Investasi,Jenis Bangunan
30210,T. RAD INDONESIA,C 8,Jl. Jababeka II,1,"Radiator untuk sepeda motor, truk dan mobil",Otomotif,Japan,Kavling
7315,MUHTOMAS,C 20-21,Jl. Jababeka II,1,"Timah hitam batangan, pemanfaatan limbah B3",Jasa,Indonesia,Kavling
13610,TAMINDO PERMAIGLASS,C 30-31,Jl. Jababeka II,1,Kaca pengaman,Otomotif,Indonesia,Kavling
33760,DAELIM INDONESIA,E 6-8,Jl. Jababeka Raya,1,Industri peralatan dapur dan peralatan meja dari logam,Baja/Logam,South Korea,Kavling
23403,FLORA FOOD MANUFACTURING INDONESIA,D,Jl. Jababeka IX,1,Margarine,Makanan,Netherland,Kavling
5995,INKOMAS LESTARI,G 34-35,Jl. Jababeka X,1,PVC Stabilizer,Kimia,Libya,Kavling
6750,CAHAYA SAM PERINDASA,F 7,Jl. Jababeka X,1,Packaging,Packaging,Indonesia,Kavling
12240,CAHAYA INDOTAMA ENGINEERING,F 4,Jl. Jababeka V,1,Tower crane dan passenger dan material hoist,Jasa,Indonesia,Kavling
20080,MATSUMOTOYUSHI INDONESIA,G 8,Jl. Jababeka XI,1,Sizing agen,Kimia,Japan,Kavling
38518.76,PARTSINDO SERVICATAMA,G 1-3,Jl. Jababeka V,1,"Fire Suppression System, Automatic Lubrication Systems, Hydraulic hoses & Fittings",Kimia,Indonesia,Kavling
6713,GCP APPLIED TECHNOLOGIES INDONESIA,C 32,Jl. Jababeka Raya,1,Chemical and building material,Kimia,Germany,Kavling
3600,BERNADI UTAMA,C 25,Jl. Jababeka II,1,"Solar water heater, solar panel photovoltaic, tangki bejana panas, electric water heater",Elektronik,Indonesia,SFB
6760,SEHATIPRIMA SEJAHTERA,F 10,Jl. Jababeka X,1,Percetakan,Packaging,Indonesia,Kavling
18118,FANS INDUSTRY INDONESIA,I 3,Jl. Jababeka V,1,Non woven Pabrik / FELT,Tekstil,Japan,Kavling
5100,HALDIN PACIFIC SEMESTA,C 3 A,Jl. Jababeka IV,1,"Minyak astiri, pati lainnya, pengolahan the dan kopi, simplisia",Makanan,Indonesia,Kavling
949,WANXING INDONESIA,C 5 E,Jl. Samsung 2B,UKM,Pewarna keramik,Kimia,Taiwan,TOB
